,frequency,recency,T,monetary_value,probability_alive,pred_num_txn,exp_avg_sales,predicted_clv,manual_predicted_clv,clv_profit
0,1.0,171.0,397.0,87.9,0.042639558581444706,0.0,95.61803060905287,0.448267404216331,0.0,0.0448267404216331
1,1.0,11.0,97.0,11.55,0.05358231778430822,0.01,19.14407534756777,0.23199926031727056,0.1914407534756777,0.023199926031727058
3,1.0,60.0,192.0,63.9,0.047190962111410356,0.01,71.57906628324223,0.5723760670829631,0.7157906628324223,0.05723760670829631
4,1.0,177.0,371.0,227.88,0.04887169577530409,0.01,235.8252900393434,1.3262271022908843,2.3582529003934343,0.13262271022908842
5,1.0,330.0,436.0,1320.0,0.08280022208895946,0.01,1329.7183616853565,11.347272490449301,13.297183616853566,1.13472724904493
6,1.0,42.0,113.0,1369.9,0.06673142118594576,0.01,1379.699375012771,19.711840514639203,13.796993750127712,1.9711840514639203
7,1.0,29.0,68.0,59.9,0.08391624640327197,0.02,67.57257222894044,1.4284271672497844,1.3514514445788088,0.14284271672497845
8,1.0,4.0,277.0,256.0,0.015988476222663566,0.0,263.99094324108484,0.584135025410079,0.0,0.058413502541007904
9,1.0,39.0,523.0,59.9,0.009328978987981053,0.0,67.57257222894044,0.0570056297606841,0.0,0.00570056297606841
10,1.0,444.0,475.0,356.94,0.11024726446273278,0.01,365.09482070139006,3.903873911587178,3.6509482070139008,0.39038739115871784
11,1.0,102.0,274.0,16.0,0.04397956719517738,0.01,23.60129998297849,0.14458467466173272,0.23601299982978488,0.014458467466173273
13,1.0,206.0,451.0,799.9200000000001,0.0433809841312171,0.0,808.79400474504,3.531033050667315,0.0,0.35310330506673154
14,1.0,397.0,486.0,252.0,0.09101061522927568,0.01,259.9844491867831,2.2573688186465906,2.599844491867831,0.22573688186465907
15,1.0,50.0,373.0,199.6,0.017824601968444494,0.0,207.49937707542986,0.42408447855930337,0.0,0.04240844785593034
16,1.0,34.0,69.0,22.32,0.08765316280167001,0.02,29.93156058877529,0.6583207167343271,0.5986312117755058,0.06583207167343272
18,1.0,235.0,471.0,180.0,0.047546185288505155,0.0,187.8675562093512,0.8716108627855526,0.0,0.08716108627855526
20,1.0,288.0,517.0,23.99,0.05334284316307926,0.0,31.60427185644628,0.15375238064212607,0.0,0.015375238064212607
21,2.0,172.0,278.0,235.455,0.20123873101506243,0.04,239.43056688393585,9.721275297142752,9.577222675357435,0.9721275297142752
22,1.0,34.0,177.0,22.99,0.03970656650971278,0.01,30.602648342870836,0.2143901740250009,0.30602648342870836,0.021439017402500093
25,1.0,55.0,469.0,17.99,0.013161179351364394,0.0,25.594530774993622,0.032970049541976375,0.0,0.0032970049541976377
26,1.0,1.0,36.0,259.9,0.08232345016146936,0.02,267.89727494402905,6.353517129717054,5.357945498880581,0.6353517129717055
27,1.0,74.0,369.0,67.6,0.022840307002849235,0.0,75.28507328347136,0.19858245878133973,0.0,0.019858245878133975
28,1.0,2.0,92.0,2965.32,0.0498640627751791,0.01,2977.709561041305,34.18377503747787,29.77709561041305,3.4183775037477875
29,1.0,1.0,59.0,702.0,0.0657365189503405,0.02,710.7150302957325,12.200019460844045,14.21430060591465,1.2200019460844045
30,1.0,150.0,288.0,308.0,0.058354363282774394,0.01,316.07536594700787,2.4934535154486226,3.1607536594700787,0.24934535154486226
32,1.0,310.0,348.0,24.99,0.10446880835796915,0.01,32.60589537002172,0.4088272704949529,0.3260589537002172,0.04088272704949529
33,1.0,34.0,504.0,18.99,0.009379587005460746,0.0,26.596154288569068,0.023179249056450833,0.0,0.0023179249056450835
34,1.0,78.0,119.0,122.99,0.08893843238490158,0.02,130.76499970041516,2.4411122724274574,2.615299994008303,0.24411122724274575
35,2.0,435.0,531.0,51.45,0.27462116444026935,0.04,55.27632072779143,1.9840644824164055,2.211052829111657,0.19840644824164055
36,1.0,117.0,524.0,99.85,0.01897472933404279,0.0,107.5874315962794,0.18434819487777862,0.0,0.01843481948777786
37,1.0,65.0,501.0,150.49,0.013054756544950148,0.0,158.30964632373986,0.19286930142729777,0.0,0.01928693014272978
38,1.0,6.0,361.0,159.9,0.011259440400665888,0.0,167.73492358648477,0.2212925732286929,0.0,0.02212925732286929
39,1.0,20.0,315.0,45.9,0.016355994073445453,0.0,53.54984303888424,0.11203474613058544,0.0,0.011203474613058545
40,1.0,25.0,233.0,79.9,0.02596980843928952,0.0,87.60504250044931,0.34785859728603297,0.0,0.0347858597286033
41,1.0,60.0,445.0,58.99,0.015030900044648297,0.0,66.6610948315868,0.10179507355542813,0.0,0.010179507355542815
42,1.0,259.0,476.0,49.9,0.05284204297259512,0.01,57.556337093186016,0.29453662186339075,0.5755633709318602,0.029453662186339075
45,1.0,2.0,118.0,158.0,0.04063416391450335,0.01,165.83183891069143,1.4190198929544962,1.6583183891069144,0.14190198929544962
46,1.0,59.0,393.0,17.9,0.018032936083727306,0.0,25.504384658771833,0.050915711772283746,0.0,0.005091571177228375
48,1.0,42.0,367.0,90.0,0.016796610177361906,0.0,97.7214399875613,0.19024232712393083,0.0,0.019024232712393084
49,1.0,74.0,237.0,69.99,0.0418002334894203,0.01,77.67895348091666,0.49177733146452385,0.7767895348091667,0.049177733146452386
51,1.0,72.0,472.0,155.0,0.015350805121348935,0.0,162.8269683699651,0.24353026794316723,0.0,0.024353026794316723
52,1.0,148.0,385.0,24.9,0.03838124668730425,0.0,32.51574925379993,0.14009330771037257,0.0,0.014009330771037257
53,1.0,46.0,208.0,8.9,0.03747495353527235,0.01,16.489773036592844,0.10046748661526421,0.16489773036592845,0.010046748661526422
